label,sms
ham,What time should I tell my friend to be around?
ham,"Aight, let me know when you're gonna be around usf"
ham,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.
ham,Short But Cute: \Be a good person
ham,S s..first time..dhoni rocks...
ham,Indeed and by the way it was either or - not both !
ham,No. She's currently in scotland for that.
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
ham,She told to hr that he want posting in chennai:)because i'm working here:)
ham,Ok. She'll be ok. I guess
ham,if you text on your way to cup stop that should work. And that should be BUS
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
ham,Aiyar sorry lor forgot 2 tell u...
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
ham,"Sorry, went to bed early, nightnight"
ham,Or just do that 6times
ham,U should make a fb list
ham,Oooh I got plenty of those!
ham,At 4. Let's go to bill millers
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,I like cheap! But iÛ÷m happy to splash out on the wine if it makes you feel better..
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... 
ham,I cant pick the phone right now. Pls send a message
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
ham,Why did I wake up on my own &gt;:(
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,New car and house for my parents.:)i have only new job in hand:)
ham,Super msg da:)nalla timing.
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
ham,I am not having her number sir
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
ham,I wish u were here. I feel so alone
ham,Pls speak with me. I wont ask anything other then you friendship.
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,Were gonna go get some tacos
ham,"whatever, im pretty pissed off."
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\"""""
ham,Speaking of does he have any cash yet?
ham,"Yes..but they said its IT.,"
ham,Yup ok...
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
ham,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
ham,"Yeah, don't go to bed, I'll be back before midnight"
ham,Cold. Dont be sad dear
ham,Detroit. The home of snow. Enjoy it.
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
ham,Oh is it! Which brand?
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,You intrepid duo you! Have a great time and see you both soon. 
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,Hi da:)how is the todays class?
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,Still i have not checked it da. . .
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
ham,"\Thinking of u ;) x\"""""
ham,Roger that. WeÛ÷re probably going to rem in about 20
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,Thats cool. i liked your photos. You are very sexy!
ham,Hi' Test on  &lt;#&gt; rd ....
ham,Lmao!nice 1
ham,K.k:)when are you going?
ham,Are you free now?can i call now?
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
ham,Lol no. Just trying to make your day a little more interesting
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Ok lor then we go tog lor...
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? 
ham,What time is ur flight tmr?
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,Yes when is the appt again?
ham,S now only i took tablets . Reaction morning only.
ham,That's a shame! Maybe cld meet for few hrs tomo?
ham,"I shall book chez jules for half eight, if that's ok with you?"
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,Who u talking about?
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Check wid corect speling i.e. Sarcasm
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
ham,Why do you ask princess?
ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
ham,Are you driving or training?
ham,Enjoy urself tmr...
ham,Did u got that persons story
ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
ham,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"""
ham,Does uncle timi help in clearing cars
ham,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...
ham,"[Û_] anyway, many good evenings to u! s"
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,Hi! This is Roger from CL. How are you?
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,They finally came to fix the ceiling.
ham,Sounds like something that someone testing me would sayy
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
ham,Moji just informed me that you saved our lives. Thanks.
ham,Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,I uploaded mine to Facebook
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,K...k...when will you give treat?
ham,She went to attend another two rounds today..but still did't reach home..
ham,"Sorry, I'll call later"
ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
ham,"see you then, we're all christmassy here!"
ham,Ok then i will come to ur home after half an hour
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd
ham,Sat right? Okay thanks... 
ham,I will come tomorrow di
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham,Saw Guys and Dolls last night with Patrick Swayze it was great
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
ham,O ic lol. Should play 9 doors sometime yo
ham,I dont thnk its a wrong calling between us
ham,"That's good, because I need drugs"
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. ÌÏ got a lot of work ar?
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,Xy trying smth now. U eat already? We havent...
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,Armand says get your ass over to epsilon
ham,It means u could not keep ur words.
ham,Ya! when are Ì_ taking ure practical lessons? I start in june..  
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,All e best 4 ur driving tmr :-)
ham,Watching tv lor...
ham,Babe ? I lost you ... Will you try rebooting ?
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
ham,Lol where do u come up with these ideas?
ham,"sure, but make sure he knows we ain't smokin yet"
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
ham,"What will we do in the shower, baby?"
ham,Carlos says we can pick up from him later so yeah we're set
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,Have you finished work yet? :)
ham,Thank u!
ham,I love working from home :)
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
ham,I am going to sleep. I am tired of travel.
ham,I like to talk pa but am not able to. I dont know y.
ham,Did u download the fring app?
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
ham,Cant think of anyone with * spare room off * top of my head
ham,I keep ten rs in my shelf:) buy two egg.
ham,I'm going out to buy mum's present ar.
ham,K:)eng rocking in ashes:)
ham,You said not now. No problem. When you can. Let me know.
ham,"It's cool, we can last a little while. Getting more any time soon?"
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,"I just got home babe, are you still awake ?"
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,"Yeah sure, give me a couple minutes to track down my wallet"
ham,Congrats kano..whr s the treat maga?
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,S..antha num corrct dane
ham,And how's your husband.
ham,"I can probably come by, everybody's done around  &lt;#&gt;  right?"
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
ham,\ER
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
ham,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
ham,You didnt complete your gist oh.
ham,What class of  &lt;#&gt;  reunion?
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
ham,Men like shorter ladies. Gaze up into his eyes.
ham,"Hurry up, I've been weed-deficient for like three days"
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,"I call you later, don't have network. If urgnt, sms me."
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,How do you guys go to see movies on your side.
spam,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,Okay... I booked all already... Including the one at bugis.
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50"
ham,Daddy will take good care of you :)
ham,Oh god..taken the teeth?is it paining
ham,I want snow. It's just freezing and windy.
spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
ham,Oh god. I'm gonna Google nearby cliffs now.
ham,I anything lor...
ham,Come to my home for one last time i wont do anything. Trust me.
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,Oh baby of the house. How come you dont have any new pictures on facebook
ham,Fine am simply sitting.
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,"Hey , is * rite u put åÈ10 evey mnth is that all?"
ham,I didn't get the second half of that message
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,Sitting ard nothing to do lor. U leh busy w work?
ham,The new deus ex game comin early next yr
ham,Im just wondering what your doing right now?
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL
ham,Ok u can take me shopping when u get paid =D
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv"
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,WHAT TIME U WRKIN?
ham,Were somewhere on Fredericksburg
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,Wen did you get so spiritual and deep. That's great
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.
ham,I dont have i shall buy one dear
ham,I know you are serving. I mean what are you doing now.
ham,"Not sure yet, still trying to get a hold of him"
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
ham,ILL B DOWN SOON
ham,Ok lor.
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
ham,Otherwise had part time job na-tuition..
ham,Any way where are you and what doing.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
ham,I need you to be in my strong arms...
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
spam,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
ham,at bruce b downs &amp; fletcher now
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
ham,He remains a bro amongst bros
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,I've reached home n i bathe liao... U can call me now...
ham,God bless.get good sleep my dear...i will pray!
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
